source_benchmark,machine_id,kernel,elements,bytes,stride,threads,repetition,runtime_sec,bandwidth_gbps,checksum,compiler,compiler_flags
custom,mac_m4_local,triad,100000,2400000,1,1,1,0.000492000,4.878049,1116697.5160000005,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,100000,2400000,1,1,2,0.000247000,9.716600,1116697.5160000005,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,100000,2400000,1,1,3,0.000285000,8.421053,1116697.5160000005,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
